ods_code,ods_name,has_ae_last_six_months,used_aa
RVN,Avon And Wiltshire Mental Health Partnership NHS Trust,False,False
RWX,Berkshire Healthcare NHS Foundation Trust,False,False
RXT,Birmingham And Solihull Mental Health NHS Foundation Trust,False,False
RYW,Birmingham Community Healthcare NHS Foundation Trust,False,False
TAJ,Black Country Healthcare NHS Foundation Trust,False,False
TAD,Bradford District Care NHS Foundation Trust,False,False
RY2,Bridgewater Community Healthcare NHS Foundation Trust,False,False
RT1,Cambridgeshire And Peterborough NHS Foundation Trust,False,False
RYV,Cambridgeshire Community Services NHS Trust,False,False
RV3,Central And North West London NHS Foundation Trust,False,False
RYX,Central London Community Healthcare NHS Trust,False,False
RXA,Cheshire And Wirral Partnership NHS Foundation Trust,False,False
RJ8,Cornwall Partnership NHS Foundation Trust,False,False
RYG,Coventry And Warwickshire Partnership NHS Trust,False,False
RX4,"Cumbria, Northumberland, Tyne And Wear NHS Foundation Trust",False,False
RY8,Derbyshire Community Health Services NHS Foundation Trust,False,False
RXM,Derbyshire Healthcare NHS Foundation Trust,False,False
RWV,Devon Partnership NHS Trust,False,False
RDY,Dorset Healthcare University NHS Foundation Trust,False,False
RYK,Dudley Integrated Health And Care NHS Trust,False,False
RWK,East London NHS Foundation Trust,False,False
RX9,East Midlands Ambulance Service NHS Trust,False,False
RYC,East Of England Ambulance Service NHS Trust,False,False
R1L,Essex Partnership University NHS Foundation Trust,False,False
RTQ,Gloucestershire Health And Care NHS Foundation Trust,False,False
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,False,False
RXV,Greater Manchester Mental Health NHS Foundation Trust,False,False
RW1,Hampshire And Isle Of Wight Healthcare NHS Foundation Trust,False,False
R1A,Herefordshire And Worcestershire Health And Care NHS Trust,False,False
RY4,Hertfordshire Community NHS Trust,False,False
RWR,Hertfordshire Partnership University NHS Foundation Trust,False,False
RV9,Humber Teaching NHS Foundation Trust,False,False
RXY,Kent And Medway NHS And Social Care Partnership Trust,False,False
RYY,Kent Community Health NHS Foundation Trust,False,False
RW5,Lancashire & South Cumbria NHS Foundation Trust,False,False
RGD,Leeds And York Partnership NHS Foundation Trust,False,False
RY6,Leeds Community Healthcare NHS Trust,False,False
RT5,Leicestershire Partnership NHS Trust,False,False
RY5,Lincolnshire Community Health Services NHS Trust,False,False
RP7,Lincolnshire Partnership NHS Foundation Trust,False,False
RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,False,False
REP,Liverpool Women's NHS Foundation Trust,False,False
RRU,London Ambulance Service NHS Trust,False,False
